id,name,quantity,unit,price,clubcard_price,price_diff,reduction_percent
1918,Tesco Finest Free Range Bronze Turkey Crown Large 3kg-3.99kg) (Serves 15-18),33.99,kg,71.82,16.0,55.81999999999999,77.7
1059,Nestle Rolo Dessert 2X65g,2.0,65g,1.85,0.75,1.1,59.5
1970,Tesco Finest Free Range Bronze Turkey Crown Small,11.99,kg,35.82,16.0,19.82,55.3
424,Pizza Express Dough Balls 200G,200.0,g,3.8,1.75,2.05,53.9
579,Pizza Express American Pizza 250G,250.0,g,5.5,2.75,2.75,50.0
410,Ocean Spray Cranberry Classic Juice Drink,1.0,l,1.85,1.0,0.8500000000000001,45.9
1485,Ocean Spray Cranberry & Raspberry Juice Drink,1.0,litre,1.85,1.0,0.8500000000000001,45.9
1623,Ocean Spray Blueberry Juice Drink,1.0,litre,1.85,1.0,0.8500000000000001,45.9
708,Ocean Spray Cranberry Classic Light Juice Drink,1.0,litre,1.85,1.0,0.8500000000000001,45.9
1664,Dairylea Filled Cheese Crackers Snacks,5.0,pack,2.3,1.25,1.0499999999999998,45.7
2024,Bonne Maman Salted Caramel Creme Dessert,290.0,g,2.2,1.2,1.0000000000000002,45.5
1992,Bonne Maman Strawberry Mousse Dessert,270.0,g,2.2,1.2,1.0000000000000002,45.5
1699,Bonne Maman Chocolate Mousse Dessert 2x70g,270.0,g,2.2,1.2,1.0000000000000002,45.5
1639,Philadelphia Salmon Soft Cream Cheese,165.0,g,2.25,1.25,1.0,44.4
223,Richmond 12 Thick Pork Sausages,615.0,g,3.6,2.0,1.6,44.4
462,Philadelphia Light Low Fat Soft Cream Cheese,165.0,g,2.25,1.25,1.0,44.4
1539,Philadelphia Sweet Chilli Soft Cream Cheese,165.0,g,2.25,1.25,1.0,44.4
0,Arla Skyr Natural Icelandic Style Yogurt,450.0,g,2.25,1.25,1.0,44.4
1495,Arla Skyr Strawberry Icelandic Style Yogurt,450.0,g,2.25,1.25,1.0,44.4
1985,"innocent Super Smoothie Invigorate, Kiwi & Cucumber Juice with Vitamins",750.0,ml,4.5,2.5,2.0,44.4
126,Philadelphia Original Soft Cream Cheese 165G,165.0,g,2.25,1.25,1.0,44.4
617,Arla Skyr Natural Icelandic Style Yogurt,450.0,g,2.25,1.25,1.0,44.4
1398,Philadelphia Chives Soft Cream Cheese 165G,165.0,g,2.25,1.25,1.0,44.4
749,Philadelphia Lightest Low Fat Soft Cream Cheese,165.0,g,2.25,1.25,1.0,44.4
855,Philadelphia Garlic & Herbs Soft Cream Cheese,165.0,g,2.25,1.25,1.0,44.4
1,Arla Skyr Strawberry Icelandic Style Yogurt,450.0,g,2.25,1.25,1.0,44.4
1786,"innocent Super Smoothie Energise, Strawberry & Cherry",750.0,ml,4.5,2.5,2.0,44.4
1499,Light & Free Peach Greek Style Fat Free Yoghurt,4115.0,g,2.5,1.5,1.0,40.0
1328,Light & Free Strawberry Greek Style Fat Free Yoghurt 4x115g,460.0,g,2.5,1.5,1.0,40.0
1701,Light & Free Sticky Toffee Greek Style Fat Free Yoghurt 4x115g,4115.0,g,2.5,1.5,1.0,40.0
1437,Light & Free Cherry Greek Style Fat Free Yoghurt,4115.0,g,2.5,1.5,1.0,40.0
1927,Yeo Valley Organic Kefir Passion Fruit & Mango,4100.0,g,2.5,1.5,1.0,40.0
1815,Yeo Valley Organic Gut Health Kefir Strawberry,4100.0,g,2.5,1.5,1.0,40.0
1569,"innocent Kids Super Smoothies Mangoes, Peaches, Apricots & Apples",4150.0,,4.1,2.5,1.5999999999999996,39.0
2012,Innocent Kids Super Smoothie Blueberry,4150.0,ml,4.1,2.5,1.5999999999999996,39.0
