id,name,quantity,unit,price,clubcard_price,reduction_percent,absolute_savings
1918,Tesco Finest Free Range Bronze Turkey Crown Large 3kg-3.99kg) (Serves 15-18),33.99,kg,71.82,16.0,77.7,55.82
1059,Nestle Rolo Dessert 2X65g,2.0,65g,1.85,0.75,59.5,1.1
1970,Tesco Finest Free Range Bronze Turkey Crown Small,11.99,kg,35.82,16.0,55.3,19.82
424,Pizza Express Dough Balls 200G,200.0,g,3.8,1.75,53.9,2.05
579,Pizza Express American Pizza 250G,250.0,g,5.5,2.75,50.0,2.75
1485,Ocean Spray Cranberry & Raspberry Juice Drink,1.0,litre,1.85,1.0,45.9,0.85
708,Ocean Spray Cranberry Classic Light Juice Drink,1.0,litre,1.85,1.0,45.9,0.85
1623,Ocean Spray Blueberry Juice Drink,1.0,litre,1.85,1.0,45.9,0.85
410,Ocean Spray Cranberry Classic Juice Drink,1.0,l,1.85,1.0,45.9,0.85
1664,Dairylea Filled Cheese Crackers Snacks,5.0,pack,2.3,1.25,45.7,1.05
1992,Bonne Maman Strawberry Mousse Dessert,270.0,g,2.2,1.2,45.5,1.0
2024,Bonne Maman Salted Caramel Creme Dessert,290.0,g,2.2,1.2,45.5,1.0
1699,Bonne Maman Chocolate Mousse Dessert 2x70g,270.0,g,2.2,1.2,45.5,1.0
749,Philadelphia Lightest Low Fat Soft Cream Cheese,165.0,g,2.25,1.25,44.4,1.0
1398,Philadelphia Chives Soft Cream Cheese 165G,165.0,g,2.25,1.25,44.4,1.0
1539,Philadelphia Sweet Chilli Soft Cream Cheese,165.0,g,2.25,1.25,44.4,1.0
617,Arla Skyr Natural Icelandic Style Yogurt,450.0,g,2.25,1.25,44.4,1.0
1495,Arla Skyr Strawberry Icelandic Style Yogurt,450.0,g,2.25,1.25,44.4,1.0
126,Philadelphia Original Soft Cream Cheese 165G,165.0,g,2.25,1.25,44.4,1.0
1786,"innocent Super Smoothie Energise, Strawberry & Cherry",750.0,ml,4.5,2.5,44.4,2.0
223,Richmond 12 Thick Pork Sausages,615.0,g,3.6,2.0,44.4,1.6
462,Philadelphia Light Low Fat Soft Cream Cheese,165.0,g,2.25,1.25,44.4,1.0
855,Philadelphia Garlic & Herbs Soft Cream Cheese,165.0,g,2.25,1.25,44.4,1.0
1639,Philadelphia Salmon Soft Cream Cheese,165.0,g,2.25,1.25,44.4,1.0
0,Arla Skyr Natural Icelandic Style Yogurt,450.0,g,2.25,1.25,44.4,1.0
1,Arla Skyr Strawberry Icelandic Style Yogurt,450.0,g,2.25,1.25,44.4,1.0
1985,"innocent Super Smoothie Invigorate, Kiwi & Cucumber Juice with Vitamins",750.0,ml,4.5,2.5,44.4,2.0
1328,Light & Free Strawberry Greek Style Fat Free Yoghurt 4x115g,460.0,g,2.5,1.5,40.0,1.0
1499,Light & Free Peach Greek Style Fat Free Yoghurt,4115.0,g,2.5,1.5,40.0,1.0
1437,Light & Free Cherry Greek Style Fat Free Yoghurt,4115.0,g,2.5,1.5,40.0,1.0
