id,product_name,price,clubcard_price,discount,percent_discount
3,Pizza Express Dough Balls 200G,3.8,1.75,2.05,53.94736842105263
7,Pizza Express Garlic & Mozzarella Flatbread,3.5,1.75,1.75,50.0
11,Philadelphia Sweet Chilli Soft Cream Cheese,2.25,1.25,1.0,44.44444444444444
259,Jaffa Orange,2.0,1.6,0.3999999999999999,20.0
276,Tesco Finest Blueberries 150G,2.5,2.0,0.5,20.0
296,Fage Total 5% Fat Greek Recipe Yogurt,5.5,4.5,1.0,18.181818181818183
383,Tesco Raspberries,2.9,2.45,0.4499999999999997,15.517241379310336
384,Tesco British Chicken Breast Fillets,6.5,5.5,1.0,15.384615384615383
483,Tesco Finest 2 Wild Caught Sockeye Salmon Fillets 230G,8.9,8.0,0.9000000000000004,10.112359550561802
504,Tesco Finest 4 Coquille St Jacques,15.0,13.5,1.5,10.0
